chunk_id,content,content_length,source
13,"assert len(docs) == 1
print(f""Total characters: {len(docs[0].page_content)}"")

CopyTotal characters: 43131

Copyprint(docs[0].page_content[:500])

Copy      LLM Powered Autonomous Agents

Date: June 23, 2023  |  Estimated Reading Time: 31 min  |  Author: Lilian Weng


Building agents with LLM (large language model) as its core controller is a cool concept. Several proof-of-concepts demos, such as AutoGPT, GPT-Engineer and BabyAGI, serve as inspiring examples. The potentiality of LLM extends beyond generating well-written copies, stories, essays and programs; it can be framed as a powerful general problem solver.
Agent System Overview#
In

Go deeper
DocumentLoader: Object that loads data from a source as list of Documents.

Integrations: 160+ integrations to choose from.
BaseLoader: API reference for the base interface.",830,https://python.langchain.com/docs/tutorials/rag/
14,"Integrations: 160+ integrations to choose from.
BaseLoader: API reference for the base interface.

‚ÄãSplitting documents
Our loaded document is over 42k characters which is too long to fit into the context window of many models. Even for those models that could fit the full post in their context window, models can struggle to find information in very long inputs.
To handle this we‚Äôll split the Document into chunks for embedding and vector storage. This should help us retrieve only the most relevant parts of the blog post at run time.
As in the semantic search tutorial, we use a RecursiveCharacterTextSplitter, which will recursively split the document using common separators like new lines until each chunk is the appropriate size. This is the recommended text splitter for generic text use cases.
Copyfrom langchain_text_splitters import RecursiveCharacterTextSplitter",880,https://python.langchain.com/docs/tutorials/rag/
15,"text_splitter = RecursiveCharacterTextSplitter(
    chunk_size=1000,  # chunk size (characters)
    chunk_overlap=200,  # chunk overlap (characters)
    add_start_index=True,  # track index in original document
)
all_splits = text_splitter.split_documents(docs)

print(f""Split blog post into {len(all_splits)} sub-documents."")

CopySplit blog post into 66 sub-documents.

Go deeper
TextSplitter: Object that splits a list of Document objects into smaller
chunks for storage and retrieval.

Integrations
Interface: API reference for the base interface.",551,https://python.langchain.com/docs/tutorials/rag/
16,"Integrations
Interface: API reference for the base interface.

‚ÄãStoring documents
Now we need to index our 66 text chunks so that we can search over them at runtime. Following the semantic search tutorial, our approach is to embed the contents of each document split and insert these embeddings into a vector store. Given an input query, we can then use vector search to retrieve relevant documents.
We can embed and store all of our document splits in a single command using the vector store and embeddings model selected at the start of the tutorial.
Copydocument_ids = vector_store.add_documents(documents=all_splits)

print(document_ids[:3])

Copy['07c18af6-ad58-479a-bfb1-d508033f9c64', '9000bf8e-1993-446f-8d4d-f4e507ba4b8f', 'ba3b5d14-bed9-4f5f-88be-44c88aedc2e6']

Go deeper
Embeddings: Wrapper around a text embedding model, used for converting text to embeddings.

Integrations: 30+ integrations to choose from.
Interface: API reference for the base interface.",972,https://python.langchain.com/docs/tutorials/rag/
17,"Integrations: 30+ integrations to choose from.
Interface: API reference for the base interface.

VectorStore: Wrapper around a vector database, used for storing and querying embeddings.

Integrations: 40+ integrations to choose from.
Interface: API reference for the base interface.

This completes the Indexing portion of the pipeline. At this point we have a query-able vector store containing the chunked contents of our blog post. Given a user question, we should ideally be able to return the snippets of the blog post that answer the question.
‚Äã2. Retrieval and Generation
RAG applications commonly work as follows:

Retrieve: Given a user input, relevant splits are retrieved from storage using a Retriever.
Generate: A model produces an answer using a prompt that includes both the question with the retrieved data",824,https://python.langchain.com/docs/tutorials/rag/
18,"Now let‚Äôs write the actual application logic. We want to create a simple application that takes a user question, searches for documents relevant to that question, passes the retrieved documents and initial question to a model, and returns an answer.
We will demonstrate:

A RAG agent that executes searches with a simple tool. This is a good general-purpose implementation.
A two-step RAG chain that uses just a single LLM call per query. This is a fast and effective method for simple queries.

‚ÄãRAG agents
One formulation of a RAG application is as a simple agent with a tool that retrieves information. We can assemble a minimal RAG agent by implementing a tool that wraps our vector store:
Copyfrom langchain.tools import tool",734,https://python.langchain.com/docs/tutorials/rag/
19,"@tool(response_format=""content_and_artifact"")
def retrieve_context(query: str):
    """"""Retrieve information to help answer a query.""""""
    retrieved_docs = vector_store.similarity_search(query, k=2)
    serialized = ""\n\n"".join(
        (f""Source: {doc.metadata}\nContent: {doc.page_content}"")
        for doc in retrieved_docs
    )
    return serialized, retrieved_docs

Here we use the tool decorator to configure the tool to attach raw documents as artifacts to each ToolMessage. This will let us access document metadata in our application, separate from the stringified representation that is sent to the model.
Retrieval tools are not limited to a single string query argument, as in the above example. You can
force the LLM to specify additional search parameters by adding arguments‚Äî for example, a category:Copyfrom typing import Literal

def retrieve_context(query: str, section: Literal[""beginning"", ""middle"", ""end""]):",932,https://python.langchain.com/docs/tutorials/rag/
20,"def retrieve_context(query: str, section: Literal[""beginning"", ""middle"", ""end""]):

Given our tool, we can construct the agent:
Copyfrom langchain.agents import create_agent


tools = [retrieve_context]
# If desired, specify custom instructions
prompt = (
    ""You have access to a tool that retrieves context from a blog post. ""
    ""Use the tool to help answer user queries.""
)
agent = create_agent(model, tools, system_prompt=prompt)

Let‚Äôs test this out. We construct a question that would typically require an iterative sequence of retrieval steps to answer:
Copyquery = (
    ""What is the standard method for Task Decomposition?\n\n""
    ""Once you get the answer, look up common extensions of that method.""
)

for event in agent.stream(
    {""messages"": [{""role"": ""user"", ""content"": query}]},
    stream_mode=""values"",
):
    event[""messages""][-1].pretty_print()

Copy================================ Human Message =================================",955,https://python.langchain.com/docs/tutorials/rag/
21,"Copy================================ Human Message =================================

What is the standard method for Task Decomposition?

Once you get the answer, look up common extensions of that method.
================================== Ai Message ==================================
Tool Calls:
  retrieve_context (call_d6AVxICMPQYwAKj9lgH4E337)
 Call ID: call_d6AVxICMPQYwAKj9lgH4E337
  Args:
    query: standard method for Task Decomposition
================================= Tool Message =================================
Name: retrieve_context

Source: {'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/'}
Content: Task decomposition can be done...",670,https://python.langchain.com/docs/tutorials/rag/
22,"Source: {'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/'}
Content: Component One: Planning...
================================== Ai Message ==================================
Tool Calls:
  retrieve_context (call_0dbMOw7266jvETbXWn4JqWpR)
 Call ID: call_0dbMOw7266jvETbXWn4JqWpR
  Args:
    query: common extensions of the standard method for Task Decomposition
================================= Tool Message =================================
Name: retrieve_context

Source: {'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/'}
Content: Task decomposition can be done...

Source: {'source': 'https://lilianweng.github.io/posts/2023-06-23-agent/'}
Content: Component One: Planning...
================================== Ai Message ==================================

The standard method for Task Decomposition often used is the Chain of Thought (CoT)...

Note that the agent:",903,https://python.langchain.com/docs/tutorials/rag/
23,"Note that the agent:

Generates a query to search for a standard method for task decomposition;
Receiving the answer, generates a second query to search for common extensions of it;
Having received all necessary context, answers the question.",242,https://python.langchain.com/docs/tutorials/rag/
24,"We can see the full sequence of steps, along with latency and other metadata, in the LangSmith trace.
You can add a deeper level of control and customization using the LangGraph framework directly‚Äî for example, you can add steps to grade document relevance and rewrite search queries. Check out LangGraph‚Äôs Agentic RAG tutorial for more advanced formulations.
‚ÄãRAG chains
In the above agentic RAG formulation we allow the LLM to use its discretion in generating a tool call to help answer user queries. This is a good general-purpose solution, but comes with some trade-offs:",581,https://python.langchain.com/docs/tutorials/rag/
25,"‚úÖ Benefits‚ö†Ô∏è DrawbacksSearch only when needed ‚Äì The LLM can handle greetings, follow-ups, and simple queries without triggering unnecessary searches.Two inference calls ‚Äì When a search is performed, it requires one call to generate the query and another to produce the final response.Contextual search queries ‚Äì By treating search as a tool with a query input, the LLM crafts its own queries that incorporate conversational context.Reduced control ‚Äì The LLM may skip searches when they are actually needed, or issue extra searches when unnecessary.Multiple searches allowed ‚Äì The LLM can execute several searches in support of a single user query.
Another common approach is a two-step chain, in which we always run a search (potentially using the raw user query) and incorporate the result as context for a single LLM query. This results in a single inference call per query, buying reduced latency at the expense of flexibility.",946,https://python.langchain.com/docs/tutorials/rag/
26,"In this approach we no longer call the model in a loop, but instead make a single pass.
We can implement this chain by removing tools from the agent and instead incorporating the retrieval step into a custom prompt:
Copyfrom langchain.agents.middleware import dynamic_prompt, ModelRequest",288,https://python.langchain.com/docs/tutorials/rag/
27,"@dynamic_prompt
def prompt_with_context(request: ModelRequest) -> str:
    """"""Inject context into state messages.""""""
    last_query = request.state[""messages""][-1].text
    retrieved_docs = vector_store.similarity_search(last_query)

    docs_content = ""\n\n"".join(doc.page_content for doc in retrieved_docs)

    system_message = (
        ""You are a helpful assistant. Use the following context in your response:""
        f""\n\n{docs_content}""
    )

    return system_message


agent = create_agent(model, tools=[], middleware=[prompt_with_context])

Let‚Äôs try this out:
Copyquery = ""What is task decomposition?""
for step in agent.stream(
    {""messages"": [{""role"": ""user"", ""content"": query}]},
    stream_mode=""values"",
):
    step[""messages""][-1].pretty_print()

Copy================================ Human Message =================================

What is task decomposition?
================================== Ai Message ==================================

Task decomposition is...",990,https://python.langchain.com/docs/tutorials/rag/
28,"Task decomposition is...

In the LangSmith trace we can see the retrieved context incorporated into the model prompt.
This is a fast and effective method for simple queries in constrained settings, when we typically do want to run user queries through semantic search to pull additional context.
Returning source documentsThe above RAG chain incorporates retrieved context into a single system message for that run.As in the agentic RAG formulation, we sometimes want to include raw source documents in the application state to have access to document metadata. We can do this for the two-step chain case by:
Adding a key to the state to store the retrieved documents
Adding a new node via a pre-model hook to populate that key (as well as inject the context).
Copyfrom typing import Any
from langchain_core.documents import Document
from langchain.agents.middleware import AgentMiddleware, AgentState


class State(AgentState):
    context: list[Document]",956,https://python.langchain.com/docs/tutorials/rag/
29,"class State(AgentState):
    context: list[Document]


class RetrieveDocumentsMiddleware(AgentMiddleware[State]):
    state_schema = State

    def before_model(self, state: AgentState) -> dict[str, Any] | None:
        last_message = state[""messages""][-1]
        retrieved_docs = vector_store.similarity_search(last_message.text)

        docs_content = ""\n\n"".join(doc.page_content for doc in retrieved_docs)

        augmented_message_content = (
            f""{last_message.text}\n\n""
            ""Use the following context to answer the query:\n""
            f""{docs_content}""
        )
        return {
            ""messages"": [last_message.model_copy(update={""content"": augmented_message_content})],
            ""context"": retrieved_docs,
        }


agent = create_agent(
    model,
    tools=[],
    middleware=[RetrieveDocumentsMiddleware()],
)

‚ÄãNext steps
Now that we‚Äôve implemented a simple RAG application via create_agent, we can easily incorporate new features and go deeper:",996,https://python.langchain.com/docs/tutorials/rag/
30,"Stream tokens and other information for responsive user experiences
Add conversational memory to support multi-turn interactions
Add long-term memory to support memory across conversational threads
Add structured responses
Deploy your application with LangSmith Deployments


Edit the source of this page on GitHub.
Connect these docs programmatically to Claude, VSCode, and more via MCP for real-time answers.Was this page helpful?YesNoBuild a semantic search engine with LangChainPreviousBuild a SQL agentNext‚åòIDocs by LangChain home pagegithubxlinkedinyoutubeResourcesForumChangelogLangChain AcademyTrust CenterCompanyAboutCareersBloggithubxlinkedinyoutubePowered by Mintlify",680,https://python.langchain.com/docs/tutorials/rag/
31,"LangChain overview - Docs by LangChainSkip to main contentDocs by LangChain home pageLangChain + LangGraphSearch...âŒ˜KAsk AIGitHubTry LangSmithTry LangSmithSearch...NavigationLangChain overviewLangChainLangGraphDeep AgentsIntegrationsLearnReferenceContributePythonOverviewChangelogGet startedInstallQuickstartPhilosophyCore componentsAgentsModelsMessagesToolsShort-term memoryStreamingStructured outputMiddlewareOverviewBuilt-in middlewareCustom middlewareAdvanced usageGuardrailsRuntimeContext engineeringModel Context Protocol (MCP)Human-in-the-loopMulti-agentRetrievalLong-term memoryAgent developmentLangSmith StudioTestAgent Chat UIDeploy with LangSmithDeploymentObservabilityOn this page Install Create an agent Core benefitsLangChain overviewCopy pageCopy pageLangChain v1.x is now available!For a complete list of changes and instructions on how to upgrade your code, see the release notes and migration guide.If you encounter any issues or have feedback, please open an issue so we can",995,https://python.langchain.com/docs/concepts/vectorstores/
32,"and migration guide.If you encounter any issues or have feedback, please open an issue so we can improve. To view v0.x documentation, go to the archived content.",161,https://python.langchain.com/docs/concepts/vectorstores/
33,"LangChain is the easiest way to start building agents and applications powered by LLMs. With under 10 lines of code, you can connect to OpenAI, Anthropic, Google, and more. LangChain provides a pre-built agent architecture and model integrations to help you get started quickly and seamlessly incorporate LLMs into your agents and applications.
We recommend you use LangChain if you want to quickly build agents and autonomous applications. Use LangGraph, our low-level agent orchestration framework and runtime, when you have more advanced needs that require a combination of deterministic and agentic workflows, heavy customization, and carefully controlled latency.
LangChain agents are built on top of LangGraph in order to provide durable execution, streaming, human-in-the-loop, persistence, and more. You do not need to know LangGraph for basic LangChain agent usage.
â€‹ Install
pipuvCopypip install -U langchain
# Requires Python 3.10+",944,https://python.langchain.com/docs/concepts/vectorstores/
34,"â€‹ Create an agent
Copy# pip install -qU ""langchain[anthropic]"" to call the model

from langchain.agents import create_agent

def get_weather(city: str) -> str:
    """"""Get weather for a given city.""""""
    return f""It's always sunny in {city}!""

agent = create_agent(
    model=""claude-sonnet-4-5-20250929"",
    tools=[get_weather],
    system_prompt=""You are a helpful assistant"",
)

# Run the agent
agent.invoke(
    {""messages"": [{""role"": ""user"", ""content"": ""what is the weather in sf""}]}
)",493,https://python.langchain.com/docs/concepts/vectorstores/
35,"â€‹ Core benefits
Standard model interfaceDifferent providers have unique APIs for interacting with models, including the format of responses. LangChain standardizes how you interact with models so that you can seamlessly swap providers and avoid lock-in.Learn moreEasy to use, highly flexible agentLangChainâ€™s agent abstraction is designed to be easy to get started with, letting you build a simple agent in under 10 lines of code. But it also provides enough flexibility to allow you to do all the context engineering your heart desires.Learn moreBuilt on top of LangGraphLangChainâ€™s agents are built on top of LangGraph. This allows us to take advantage of LangGraphâ€™s durable execution, human-in-the-loop support, persistence, and more.Learn moreDebug with LangSmithGain deep visibility into complex agent behavior with visualization tools that trace execution paths, capture state transitions, and provide detailed runtime metrics.Learn more",952,https://python.langchain.com/docs/concepts/vectorstores/
36,"Edit the source of this page on GitHub.
Connect these docs programmatically to Claude, VSCode, and more via MCP for real-time answers.Was this page helpful?YesNoChangelogNextâŒ˜IDocs by LangChain home pagegithubxlinkedinyoutubeResourcesForumChangelogLangChain AcademyTrust CenterCompanyAboutCareersBloggithubxlinkedinyoutubePowered by Mintlify",343,https://python.langchain.com/docs/concepts/vectorstores/
37,"LangChain overview - Docs by LangChainSkip to main contentDocs by LangChain home pageLangChain + LangGraphSearch...âŒ˜KAsk AIGitHubTry LangSmithTry LangSmithSearch...NavigationLangChain overviewLangChainLangGraphDeep AgentsIntegrationsLearnReferenceContributePythonOverviewChangelogGet startedInstallQuickstartPhilosophyCore componentsAgentsModelsMessagesToolsShort-term memoryStreamingStructured outputMiddlewareOverviewBuilt-in middlewareCustom middlewareAdvanced usageGuardrailsRuntimeContext engineeringModel Context Protocol (MCP)Human-in-the-loopMulti-agentRetrievalLong-term memoryAgent developmentLangSmith StudioTestAgent Chat UIDeploy with LangSmithDeploymentObservabilityOn this page Install Create an agent Core benefitsLangChain overviewCopy pageCopy pageLangChain v1.x is now available!For a complete list of changes and instructions on how to upgrade your code, see the release notes and migration guide.If you encounter any issues or have feedback, please open an issue so we can",995,https://python.langchain.com/docs/concepts/text_splitters/
38,"and migration guide.If you encounter any issues or have feedback, please open an issue so we can improve. To view v0.x documentation, go to the archived content.",161,https://python.langchain.com/docs/concepts/text_splitters/
39,"LangChain is the easiest way to start building agents and applications powered by LLMs. With under 10 lines of code, you can connect to OpenAI, Anthropic, Google, and more. LangChain provides a pre-built agent architecture and model integrations to help you get started quickly and seamlessly incorporate LLMs into your agents and applications.
We recommend you use LangChain if you want to quickly build agents and autonomous applications. Use LangGraph, our low-level agent orchestration framework and runtime, when you have more advanced needs that require a combination of deterministic and agentic workflows, heavy customization, and carefully controlled latency.
LangChain agents are built on top of LangGraph in order to provide durable execution, streaming, human-in-the-loop, persistence, and more. You do not need to know LangGraph for basic LangChain agent usage.
â€‹ Install
pipuvCopypip install -U langchain
# Requires Python 3.10+",944,https://python.langchain.com/docs/concepts/text_splitters/
40,"â€‹ Create an agent
Copy# pip install -qU ""langchain[anthropic]"" to call the model

from langchain.agents import create_agent

def get_weather(city: str) -> str:
    """"""Get weather for a given city.""""""
    return f""It's always sunny in {city}!""

agent = create_agent(
    model=""claude-sonnet-4-5-20250929"",
    tools=[get_weather],
    system_prompt=""You are a helpful assistant"",
)

# Run the agent
agent.invoke(
    {""messages"": [{""role"": ""user"", ""content"": ""what is the weather in sf""}]}
)",493,https://python.langchain.com/docs/concepts/text_splitters/
41,"â€‹ Core benefits
Standard model interfaceDifferent providers have unique APIs for interacting with models, including the format of responses. LangChain standardizes how you interact with models so that you can seamlessly swap providers and avoid lock-in.Learn moreEasy to use, highly flexible agentLangChainâ€™s agent abstraction is designed to be easy to get started with, letting you build a simple agent in under 10 lines of code. But it also provides enough flexibility to allow you to do all the context engineering your heart desires.Learn moreBuilt on top of LangGraphLangChainâ€™s agents are built on top of LangGraph. This allows us to take advantage of LangGraphâ€™s durable execution, human-in-the-loop support, persistence, and more.Learn moreDebug with LangSmithGain deep visibility into complex agent behavior with visualization tools that trace execution paths, capture state transitions, and provide detailed runtime metrics.Learn more",952,https://python.langchain.com/docs/concepts/text_splitters/
42,"Edit the source of this page on GitHub.
Connect these docs programmatically to Claude, VSCode, and more via MCP for real-time answers.Was this page helpful?YesNoChangelogNextâŒ˜IDocs by LangChain home pagegithubxlinkedinyoutubeResourcesForumChangelogLangChain AcademyTrust CenterCompanyAboutCareersBloggithubxlinkedinyoutubePowered by Mintlify",343,https://python.langchain.com/docs/concepts/text_splitters/
43,"LangChain overview - Docs by LangChainSkip to main contentDocs by LangChain home pageLangChain + LangGraphSearch...âŒ˜KAsk AIGitHubTry LangSmithTry LangSmithSearch...NavigationLangChain overviewLangChainLangGraphDeep AgentsIntegrationsLearnReferenceContributePythonOverviewChangelogGet startedInstallQuickstartPhilosophyCore componentsAgentsModelsMessagesToolsShort-term memoryStreamingStructured outputMiddlewareOverviewBuilt-in middlewareCustom middlewareAdvanced usageGuardrailsRuntimeContext engineeringModel Context Protocol (MCP)Human-in-the-loopMulti-agentRetrievalLong-term memoryAgent developmentLangSmith StudioTestAgent Chat UIDeploy with LangSmithDeploymentObservabilityOn this page Install Create an agent Core benefitsLangChain overviewCopy pageCopy pageLangChain v1.x is now available!For a complete list of changes and instructions on how to upgrade your code, see the release notes and migration guide.If you encounter any issues or have feedback, please open an issue so we can",995,https://python.langchain.com/docs/concepts/embedding_models/
44,"and migration guide.If you encounter any issues or have feedback, please open an issue so we can improve. To view v0.x documentation, go to the archived content.",161,https://python.langchain.com/docs/concepts/embedding_models/
45,"LangChain is the easiest way to start building agents and applications powered by LLMs. With under 10 lines of code, you can connect to OpenAI, Anthropic, Google, and more. LangChain provides a pre-built agent architecture and model integrations to help you get started quickly and seamlessly incorporate LLMs into your agents and applications.
We recommend you use LangChain if you want to quickly build agents and autonomous applications. Use LangGraph, our low-level agent orchestration framework and runtime, when you have more advanced needs that require a combination of deterministic and agentic workflows, heavy customization, and carefully controlled latency.
LangChain agents are built on top of LangGraph in order to provide durable execution, streaming, human-in-the-loop, persistence, and more. You do not need to know LangGraph for basic LangChain agent usage.
â€‹ Install
pipuvCopypip install -U langchain
# Requires Python 3.10+",944,https://python.langchain.com/docs/concepts/embedding_models/
46,"â€‹ Create an agent
Copy# pip install -qU ""langchain[anthropic]"" to call the model

from langchain.agents import create_agent

def get_weather(city: str) -> str:
    """"""Get weather for a given city.""""""
    return f""It's always sunny in {city}!""

agent = create_agent(
    model=""claude-sonnet-4-5-20250929"",
    tools=[get_weather],
    system_prompt=""You are a helpful assistant"",
)

# Run the agent
agent.invoke(
    {""messages"": [{""role"": ""user"", ""content"": ""what is the weather in sf""}]}
)",493,https://python.langchain.com/docs/concepts/embedding_models/
